"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS","TYPE","GENERAL_TYPE","SOUND"
"z","yes","no","alveolar","i","v","a","ziva","OldTestStimuli","Test","recordings/ziva.wav"
"p","no","yes","bilabial","a","p","a","papa","OldTestStimuli","Test","recordings/papa.wav"
"b","yes","yes","bilabial","i","b","u","bibu","OldTestStimuli","Test","recordings/bibu.wav"
"v","yes","no","bilabial","u","z","a","vuza","OldTestStimuli","Test","recordings/vuza.wav"
"b","yes","yes","bilabial","u","d","i","budi","OldTestStimuli","Test","recordings/budi.wav"
"s","no","no","alveolar","u","s","i","susi","OldTestStimuli","Test","recordings/susi.wav"
"z","yes","no","alveolar","u","v","a","zuva","OldTestStimuli","Test","recordings/zuva.wav"
"s","no","no","alveolar","i","f","u","sifu","OldTestStimuli","Test","recordings/sifu.wav"
"p","no","yes","bilabial","i","p","a","pipa","OldTestStimuli","Test","recordings/pipa.wav"
"d","yes","yes","alveolar","a","b","u","dabu","OldTestStimuli","Test","recordings/dabu.wav"
"v","yes","no","bilabial","i","z","u","vizu","OldTestStimuli","Test","recordings/vizu.wav"
"f","no","no","bilabial","i","s","u","fisu","OldTestStimuli","Test","recordings/fisu.wav"
"p","no","yes","bilabial","a","p","u","papu","NewTestStimuli","Test","recordings/papu.wav"
"s","no","no","alveolar","i","f","i","sifi","NewTestStimuli","Test","recordings/sifi.wav"
"d","yes","yes","alveolar","i","b","u","dibu","NewTestStimuli","Test","recordings/dibu.wav"
"z","yes","no","alveolar","u","z","i","zuzi","NewTestStimuli","Test","recordings/zuzi.wav"
"p","no","yes","bilabial","u","t","i","puti","NewTestStimuli","Test","recordings/puti.wav"
"b","yes","yes","bilabial","a","d","a","bada","NewTestStimuli","Test","recordings/bada.wav"
"t","no","yes","alveolar","u","t","a","tuta","NewTestStimuli","Test","recordings/tuta.wav"
"p","no","yes","bilabial","u","t","u","putu","NewTestStimuli","Test","recordings/putu.wav"
"f","no","no","bilabial","u","f","i","fufi","NewTestStimuli","Test","recordings/fufi.wav"
"s","no","no","alveolar","a","f","i","safi","NewTestStimuli","Test","recordings/safi.wav"
"f","no","no","bilabial","i","s","i","fisi","NewTestStimuli","Test","recordings/fisi.wav"
"b","yes","yes","bilabial","u","b","u","bubu","NewTestStimuli","Test","recordings/bubu.wav"
"p","no","yes","bilabial","i","d","a","pida","StopControls","Controls","recordings/pida.wav"
"s","no","no","alveolar","a","z","u","sazu","StopControls","Controls","recordings/sazu.wav"
"d","yes","yes","alveolar","a","p","a","dapa","StopControls","Controls","recordings/dapa.wav"
"z","yes","no","alveolar","u","s","i","zusi","StopControls","Controls","recordings/zusi.wav"
"p","no","yes","bilabial","a","b","a","paba","StopControls","Controls","recordings/paba.wav"
"b","yes","yes","bilabial","i","t","u","bitu","StopControls","Controls","recordings/bitu.wav"
"t","no","yes","alveolar","u","b","u","tubu","StopControls","Controls","recordings/tubu.wav"
"p","no","yes","bilabial","a","d","u","padu","StopControls","Controls","recordings/padu.wav"
