"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS","TYPE","GENERAL_TYPE","SOUND"
"d","yes","yes","alveolar","u","d","i","dudi","OldTestStimuli","Test","recordings/dudi.wav"
"b","yes","yes","bilabial","u","d","i","budi","OldTestStimuli","Test","recordings/budi.wav"
"b","yes","yes","bilabial","u","d","a","buda","OldTestStimuli","Test","recordings/buda.wav"
"p","no","yes","bilabial","a","t","u","patu","OldTestStimuli","Test","recordings/patu.wav"
"b","yes","yes","bilabial","u","b","a","buba","OldTestStimuli","Test","recordings/buba.wav"
"d","yes","yes","alveolar","i","b","i","dibi","OldTestStimuli","Test","recordings/dibi.wav"
"s","no","no","alveolar","u","s","u","susu","OldTestStimuli","Test","recordings/susu.wav"
"t","no","yes","alveolar","a","t","i","tati","OldTestStimuli","Test","recordings/tati.wav"
"z","yes","no","alveolar","i","z","i","zizi","OldTestStimuli","Test","recordings/zizi.wav"
"d","yes","yes","alveolar","i","d","a","dida","OldTestStimuli","Test","recordings/dida.wav"
"v","yes","no","bilabial","u","z","a","vuza","OldTestStimuli","Test","recordings/vuza.wav"
"t","no","yes","alveolar","i","p","u","tipu","OldTestStimuli","Test","recordings/tipu.wav"
"f","no","no","bilabial","u","f","u","fufu","NewTestStimuli","Test","recordings/fufu.wav"
"p","no","yes","bilabial","u","t","u","putu","NewTestStimuli","Test","recordings/putu.wav"
"d","yes","yes","alveolar","u","d","u","dudu","NewTestStimuli","Test","recordings/dudu.wav"
"s","no","no","alveolar","u","s","i","susi","NewTestStimuli","Test","recordings/susi.wav"
"s","no","no","alveolar","u","s","a","susa","NewTestStimuli","Test","recordings/susa.wav"
"f","no","no","bilabial","u","s","a","fusa","NewTestStimuli","Test","recordings/fusa.wav"
"b","yes","yes","bilabial","i","d","a","bida","NewTestStimuli","Test","recordings/bida.wav"
"t","no","yes","alveolar","i","t","i","titi","NewTestStimuli","Test","recordings/titi.wav"
"s","no","no","alveolar","i","f","u","sifu","NewTestStimuli","Test","recordings/sifu.wav"
"v","yes","no","bilabial","a","z","a","vaza","NewTestStimuli","Test","recordings/vaza.wav"
"s","no","no","alveolar","a","s","a","sasa","NewTestStimuli","Test","recordings/sasa.wav"
"f","no","no","bilabial","i","f","a","fifa","NewTestStimuli","Test","recordings/fifa.wav"
"f","no","no","bilabial","i","v","a","fiva","StopControls","Controls","recordings/fiva.wav"
"p","no","yes","bilabial","a","d","u","padu","StopControls","Controls","recordings/padu.wav"
"d","yes","yes","alveolar","i","t","a","dita","StopControls","Controls","recordings/dita.wav"
"s","no","no","alveolar","u","v","i","suvi","StopControls","Controls","recordings/suvi.wav"
"s","no","no","alveolar","u","v","a","suva","StopControls","Controls","recordings/suva.wav"
"f","no","no","bilabial","i","v","i","fivi","StopControls","Controls","recordings/fivi.wav"
"b","yes","yes","bilabial","a","t","i","bati","StopControls","Controls","recordings/bati.wav"
"t","no","yes","alveolar","a","d","i","tadi","StopControls","Controls","recordings/tadi.wav"
"s","no","no","alveolar","i","v","a","siva","StopControls","Controls","recordings/siva.wav"
"v","yes","no","bilabial","u","f","a","vufa","StopControls","Controls","recordings/vufa.wav"
"s","no","no","alveolar","a","v","i","savi","StopControls","Controls","recordings/savi.wav"
"f","no","no","bilabial","i","z","u","fizu","StopControls","Controls","recordings/fizu.wav"
"f","no","no","bilabial","i","p","u","fipu","VoicingControls","Controls","recordings/fipu.wav"
"p","no","yes","bilabial","a","s","u","pasu","VoicingControls","Controls","recordings/pasu.wav"
"d","yes","yes","alveolar","i","z","a","diza","VoicingControls","Controls","recordings/diza.wav"
"s","no","no","alveolar","u","p","u","supu","VoicingControls","Controls","recordings/supu.wav"
"s","no","no","alveolar","u","p","i","supi","VoicingControls","Controls","recordings/supi.wav"
"f","no","no","bilabial","i","t","a","fita","VoicingControls","Controls","recordings/fita.wav"
"b","yes","yes","bilabial","a","z","i","bazi","VoicingControls","Controls","recordings/bazi.wav"
"t","no","yes","alveolar","u","s","u","tusu","VoicingControls","Controls","recordings/tusu.wav"
"s","no","no","alveolar","i","p","i","sipi","VoicingControls","Controls","recordings/sipi.wav"
"v","yes","no","bilabial","u","b","a","vuba","VoicingControls","Controls","recordings/vuba.wav"
"s","no","no","alveolar","a","p","u","sapu","VoicingControls","Controls","recordings/sapu.wav"
"f","no","no","bilabial","u","p","i","fupi","VoicingControls","Controls","recordings/fupi.wav"
"f","no","no","bilabial","i","d","a","fida","NoPatternControls","Controls","recordings/fida.wav"
"p","no","yes","bilabial","u","z","a","puza","NoPatternControls","Controls","recordings/puza.wav"
"d","yes","yes","alveolar","i","f","i","difi","NoPatternControls","Controls","recordings/difi.wav"
"s","no","no","alveolar","i","b","i","sibi","NoPatternControls","Controls","recordings/sibi.wav"
"s","no","no","alveolar","u","d","i","sudi","NoPatternControls","Controls","recordings/sudi.wav"
"f","no","no","bilabial","a","b","a","faba","NoPatternControls","Controls","recordings/faba.wav"
"b","yes","yes","bilabial","a","s","i","basi","NoPatternControls","Controls","recordings/basi.wav"
"t","no","yes","alveolar","u","z","u","tuzu","NoPatternControls","Controls","recordings/tuzu.wav"
"s","no","no","alveolar","i","d","a","sida","NoPatternControls","Controls","recordings/sida.wav"
"v","yes","no","bilabial","u","t","i","vuti","NoPatternControls","Controls","recordings/vuti.wav"
"s","no","no","alveolar","i","d","i","sidi","NoPatternControls","Controls","recordings/sidi.wav"
"f","no","no","bilabial","a","d","a","fada","NoPatternControls","Controls","recordings/fada.wav"
