"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS","TYPE","GENERAL_TYPE","SOUND"
"z","yes","no","alveolar","i","v","a","ziva","OldTestStimuli","Test","recordings/ziva.wav"
"b","yes","yes","bilabial","a","b","i","babi","OldTestStimuli","Test","recordings/babi.wav"
"f","no","no","bilabial","u","s","a","fusa","OldTestStimuli","Test","recordings/fusa.wav"
"s","no","no","alveolar","a","s","u","sasu","OldTestStimuli","Test","recordings/sasu.wav"
"s","no","no","alveolar","a","s","i","sasi","OldTestStimuli","Test","recordings/sasi.wav"
"f","no","no","bilabial","i","s","u","fisu","OldTestStimuli","Test","recordings/fisu.wav"
"d","yes","yes","alveolar","u","d","i","dudi","OldTestStimuli","Test","recordings/dudi.wav"
"t","no","yes","alveolar","u","p","u","tupu","OldTestStimuli","Test","recordings/tupu.wav"
"f","no","no","bilabial","i","s","a","fisa","OldTestStimuli","Test","recordings/fisa.wav"
"s","no","no","alveolar","i","f","u","sifu","OldTestStimuli","Test","recordings/sifu.wav"
"z","yes","no","alveolar","a","v","i","zavi","OldTestStimuli","Test","recordings/zavi.wav"
"z","yes","no","alveolar","a","z","i","zazi","OldTestStimuli","Test","recordings/zazi.wav"
"z","yes","no","alveolar","a","z","a","zaza","NewTestStimuli","Test","recordings/zaza.wav"
"t","no","yes","alveolar","u","t","a","tuta","NewTestStimuli","Test","recordings/tuta.wav"
"d","yes","yes","alveolar","a","b","u","dabu","NewTestStimuli","Test","recordings/dabu.wav"
"s","no","no","alveolar","u","s","a","susa","NewTestStimuli","Test","recordings/susa.wav"
"d","yes","yes","alveolar","a","b","a","daba","NewTestStimuli","Test","recordings/daba.wav"
"f","no","no","bilabial","u","f","u","fufu","NewTestStimuli","Test","recordings/fufu.wav"
"t","no","yes","alveolar","i","t","i","titi","NewTestStimuli","Test","recordings/titi.wav"
"d","yes","yes","alveolar","i","b","a","diba","NewTestStimuli","Test","recordings/diba.wav"
"f","no","no","bilabial","i","f","u","fifu","NewTestStimuli","Test","recordings/fifu.wav"
"d","yes","yes","alveolar","i","b","i","dibi","NewTestStimuli","Test","recordings/dibi.wav"
"p","no","yes","bilabial","a","p","a","papa","NewTestStimuli","Test","recordings/papa.wav"
"b","yes","yes","bilabial","a","b","a","baba","NewTestStimuli","Test","recordings/baba.wav"
"z","yes","no","alveolar","a","s","a","zasa","StopControls","Controls","recordings/zasa.wav"
"t","no","yes","alveolar","u","b","u","tubu","StopControls","Controls","recordings/tubu.wav"
"d","yes","yes","alveolar","u","p","u","dupu","StopControls","Controls","recordings/dupu.wav"
"s","no","no","alveolar","u","v","a","suva","StopControls","Controls","recordings/suva.wav"
"d","yes","yes","alveolar","i","t","u","ditu","StopControls","Controls","recordings/ditu.wav"
"f","no","no","bilabial","i","v","a","fiva","StopControls","Controls","recordings/fiva.wav"
"t","no","yes","alveolar","a","d","i","tadi","StopControls","Controls","recordings/tadi.wav"
"d","yes","yes","alveolar","u","t","i","duti","StopControls","Controls","recordings/duti.wav"
"f","no","no","bilabial","u","v","i","fuvi","StopControls","Controls","recordings/fuvi.wav"
"d","yes","yes","alveolar","u","t","u","dutu","StopControls","Controls","recordings/dutu.wav"
"p","no","yes","bilabial","i","b","i","pibi","StopControls","Controls","recordings/pibi.wav"
"b","yes","yes","bilabial","a","p","a","bapa","StopControls","Controls","recordings/bapa.wav"
"z","yes","no","alveolar","a","d","a","zada","VoicingControls","Controls","recordings/zada.wav"
"t","no","yes","alveolar","i","s","u","tisu","VoicingControls","Controls","recordings/tisu.wav"
"d","yes","yes","alveolar","u","v","u","duvu","VoicingControls","Controls","recordings/duvu.wav"
"s","no","no","alveolar","u","p","i","supi","VoicingControls","Controls","recordings/supi.wav"
"d","yes","yes","alveolar","i","z","u","dizu","VoicingControls","Controls","recordings/dizu.wav"
"f","no","no","bilabial","i","p","u","fipu","VoicingControls","Controls","recordings/fipu.wav"
"t","no","yes","alveolar","u","s","u","tusu","VoicingControls","Controls","recordings/tusu.wav"
"d","yes","yes","alveolar","u","z","i","duzi","VoicingControls","Controls","recordings/duzi.wav"
"f","no","no","bilabial","a","p","a","fapa","VoicingControls","Controls","recordings/fapa.wav"
"d","yes","yes","alveolar","u","z","u","duzu","VoicingControls","Controls","recordings/duzu.wav"
"p","no","yes","bilabial","i","f","i","pifi","VoicingControls","Controls","recordings/pifi.wav"
"b","yes","yes","bilabial","a","v","a","bava","VoicingControls","Controls","recordings/bava.wav"
"z","yes","no","alveolar","u","t","i","zuti","NoPatternControls","Controls","recordings/zuti.wav"
"t","no","yes","alveolar","a","v","i","tavi","NoPatternControls","Controls","recordings/tavi.wav"
"d","yes","yes","alveolar","u","f","u","dufu","NoPatternControls","Controls","recordings/dufu.wav"
"s","no","no","alveolar","u","d","i","sudi","NoPatternControls","Controls","recordings/sudi.wav"
"d","yes","yes","alveolar","a","f","u","dafu","NoPatternControls","Controls","recordings/dafu.wav"
"f","no","no","bilabial","i","d","a","fida","NoPatternControls","Controls","recordings/fida.wav"
"t","no","yes","alveolar","u","z","u","tuzu","NoPatternControls","Controls","recordings/tuzu.wav"
