"SOUND","VOICING","SEGMENT","SEGMENT3","SEGMENT2","STOP","SEGMENT4","STIMULUS","GENERAL_TYPE","PLACE","TYPE","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","SpaceBar.keys","SpaceBar.rt","key_resp_2.keys","key_resp_2.rt","rating.response","rating.rt","participant","Gender","Age","frameRate","OtherLanguages","NativeLanguage","expName","date","X34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"space",9.89543890953,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/tipi.wav","no","t","p","i","yes","i","tipi","Training","alveolar","TrainingItems",0,0,0,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/fisu.wav","no","f","s","i","no","u","fisu","Training","bilabial","TrainingItems",0,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/dadi.wav","yes","d","d","a","yes","i","dadi","Training","alveolar","TrainingItems",0,2,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/pupu.wav","no","p","p","u","yes","u","pupu","Training","bilabial","TrainingItems",0,3,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/dabi.wav","yes","d","b","a","yes","i","dabi","Training","alveolar","TrainingItems",0,4,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/puta.wav","no","p","t","u","yes","a","puta","Training","bilabial","TrainingItems",0,5,5,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/susa.wav","no","s","s","u","no","a","susa","Training","alveolar","TrainingItems",0,6,6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/tupa.wav","no","t","p","u","yes","a","tupa","Training","alveolar","TrainingItems",0,7,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/vavi.wav","yes","v","v","a","no","i","vavi","Training","bilabial","TrainingItems",0,8,8,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/daba.wav","yes","d","b","a","yes","a","daba","Training","alveolar","TrainingItems",0,9,9,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/vavu.wav","yes","v","v","a","no","u","vavu","Training","bilabial","TrainingItems",0,10,10,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/bubu.wav","yes","b","b","u","yes","u","bubu","Training","bilabial","TrainingItems",0,11,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/dibi.wav","yes","d","b","i","yes","i","dibi","Training","alveolar","TrainingItems",0,12,12,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/vivi.wav","yes","v","v","i","no","i","vivi","Training","bilabial","TrainingItems",0,13,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/pati.wav","no","p","t","a","yes","i","pati","Training","bilabial","TrainingItems",0,14,14,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/sufa.wav","no","s","f","u","no","a","sufa","Training","alveolar","TrainingItems",0,15,15,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/babi.wav","yes","b","b","a","yes","i","babi","Training","bilabial","TrainingItems",0,16,16,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/sufu.wav","no","s","f","u","no","u","sufu","Training","alveolar","TrainingItems",0,17,17,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/titu.wav","no","t","t","i","yes","u","titu","Training","alveolar","TrainingItems",0,18,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/fafi.wav","no","f","f","a","no","i","fafi","Training","bilabial","TrainingItems",0,19,19,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
"Recordings/vava.wav","yes","v","v","a","no","a","vava","Training","bilabial","TrainingItems",0,20,20,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"M",19,59.8813310567,NA,"American English","VSH_Exp2","2016_Mar_22_1751",NA
